Angle		Cosine		Sine
0		1.000000		0.000000
15		0.965926		0.258819
30		0.866025		0.500000
45		0.707107		0.707107
60		0.500000		0.866025
75		0.258819		0.965926
90		0.000000		1.000000
105		-0.258819		0.965926
120		-0.500000		0.866025
135		-0.707107		0.707107
150		-0.866025		0.500000
165		-0.965926		0.258819
180		-1.000000		0.000000
195		-0.965926		-0.258819
210		-0.866025		-0.500000
225		-0.707107		-0.707107
240		-0.500000		-0.866025
255		-0.258819		-0.965926
270		-0.000000		-1.000000
285		0.258819		-0.965926
300		0.500000		-0.866025
315		0.707107		-0.707107
330		0.866025		-0.500000
345		0.965926		-0.258819
360		1.000000		-0.000000
